address,property_code,bathrooms,detailedtype,distance,district,exterior,floor,isparkingspaceincludedinprice,latitude,longitude,municipality,newdevelopment,operation,price,pricebyarea,propertytype,province,rooms,size,status,topplus,extracted_date,readable_date
barrio Legazpi,102150070,1,flat,928,Arganzuela,true,null,true,40.3870347,-3.6926616,Madrid,false,sale,1300000.0,3611.0,flat,Madrid,4,360.0,good,false,20240830114808,2024-08-30T11:48:08Z
barrio Legazpi,102150070,1,flat,789,Arganzuela,true,null,true,40.3870347,-3.6926616,Madrid,false,sale,1300000.0,3611.0,flat,Madrid,4,360.0,good,false,20240830114810,2024-08-30T11:48:10Z
avenida de Pablo Neruda,102202642,2,flat,317,Puente de Vallecas,true,1,false,40.3916956,-3.6389475,Madrid,false,sale,194000.0,1940.0,flat,Madrid,3,100.0,good,false,20240731223737,2024-07-31T22:37:37Z
avenida de Pablo Neruda,102202642,2,flat,377,Puente de Vallecas,true,1,false,40.391096,-3.639655,Madrid,false,sale,194000.0,1940.0,flat,Madrid,3,100.0,good,false,20240830114813,2024-08-30T11:48:13Z
Sector 3,102207930,3,chalet,733,Sector 3,false,null,true,40.29045,-3.7459147,Getafe,false,sale,341000.0,2229.0,chalet,Madrid,4,153.0,good,false,20240830235004,2024-08-30T23:50:04Z
calle de Francisco Silvela,102248221,2,flat,908,Chamartín,true,null,false,40.4409018,-3.6791914,Madrid,false,sale,785000.0,6542.0,flat,Madrid,3,120.0,good,false,20240731223742,2024-07-31T22:37:42Z
calle de Méjico,102266477,1,flat,889,Barrio de Salamanca,true,4,false,40.4369545,-3.6726132,Madrid,false,sale,372000.0,7750.0,penthouse,Madrid,1,48.0,good,true,20240731223740,2024-07-31T22:37:40Z
calle de Méjico,102266477,1,flat,681,Barrio de Salamanca,true,4,false,40.4369545,-3.6726132,Madrid,false,sale,372000.0,7750.0,penthouse,Madrid,1,48.0,good,true,20240731223742,2024-07-31T22:37:42Z
calle de Méjico,102266477,1,flat,460,Barrio de Salamanca,true,4,false,40.4395265,-3.6726766,Madrid,false,sale,365000.0,7604.0,penthouse,Madrid,1,48.0,good,true,20240830114835,2024-08-30T11:48:35Z
calle de Luis Peidró,102306697,2,flat,587,Retiro,true,8,true,40.394656,-3.6740769,Madrid,false,sale,566000.0,4678.0,penthouse,Madrid,2,121.0,good,false,20240731223736,2024-07-31T22:37:36Z
